# number|area E/C/L/M/S|cognition|question|correct|wrong1|wrong2|wrong3|explanation|source
469|S|application|A utility receives a regulatory order covering sewer deficiencies. What should the response plan be based on?|The actual order's obligations, dates and authorized scope|An assumed standard deadline for every order|The utility's preferred capital schedule alone|A verbal summary without checking the document|Orders differ. Assign owners and document compliance against the actual requirements rather than a generic description.|om
470|S|application|Following an overflow, a supervisor is asked to predict the exact regulatory penalty. What is the appropriate response?|Preserve evidence and refer to the applicable legal process|Calculate a universal fixed penalty per litre|Assume prompt cleanup guarantees no enforcement|Treat an insurance deductible as the legal penalty|Penalty decisions depend on applicable law and facts. Accurate incident documentation is appropriate; inventing a universal penalty rule is not.|om
472|S|application|A utility has requested relief from a permit condition but received no decision. What may operators assume?|The current condition remains applicable unless valid relief is granted|The request automatically suspends the condition|Budget pressure alone grants a permanent exemption|A vendor's agreement constitutes regulatory approval|An application is not authorization. Follow the existing requirement and confirm any change through the responsible authority.|om
474|S|application|An environmental order directs specific corrective work. What should the supervisor verify first?|The required actions, deadlines and responsible personnel|Whether routine work can be counted as equivalent without checking the direction|Whether a proposed future project addresses the specific required actions|Whether an announced intent to improve replaces documented completion|Translate the actual order into controlled actions and evidence. Generic descriptions cannot establish its legal scope or deadlines.|om
477|C|application|A large interceptor carries very low dry-weather flow and high wet-weather peaks. What should govern cross-section selection?|Hydraulics, sediment transport, construction and maintenance constraints|A rule that every large interceptor must be egg-shaped|The cross-section with the largest drawing area|The use of circular pipe regardless of site constraints|Alternative sections may offer advantages, but selection requires site-specific performance and maintainability assessment.|om
479|C|application|After sewer separation, wet-weather surcharging continues in the sanitary system. What is the best next investigation?|Residual connections, infiltration and downstream capacity|Assume separation guarantees zero wet-weather problems|Remove all monitoring because the project is complete|Increase downstream pumping before identifying the remaining constraint|Separation can reduce storm inflow but does not automatically eliminate all I/I or capacity constraints. Verify remaining sources and controls.|om
480|C|application|A tunnel interceptor is proposed to reduce surface disruption. What must be evaluated alongside its depth?|Geotechnical risk, access, shafts and operational maintenance|A universal 30–100 m construction depth|The assumption that tunnelling has no surface impacts|The replacement of all inspection by design drawings|Tunnelling may reduce some surface work, but shafts, ground conditions and long-term access still require assessment.|om
481|C|recall|Which feature characterizes microtunnelling?|Remotely controlled guided excavation with pipe installation|Open-trench excavation using a conventional backhoe|Pulling a liner through an existing pipe without excavation|Breaking an existing pipe outward with an expansion head|Microtunnelling is a guided trenchless installation method. Its suitable diameters and ground conditions depend on the equipment and design.|om
485|C|recall|What distinguishes a grinder-pump pressure sewer from a STEP system?|It pumps comminuted wastewater rather than settled tank effluent|It relies on gravity through every main|It removes all dissolved contaminants at each property|It uses vacuum rather than pump pressure|A grinder system handles wastewater after size reduction. STEP pumps septic-tank effluent after solids separation; their solids and maintenance arrangements differ.|om
487|M|application|A proposed wetland would receive intermittent combined-sewer discharges. What must be established before relying on it for treatment?|Validated hydraulic/treatment performance and required authorization|That any planted basin automatically meets discharge limits|That vegetation removes the need for pathogen control|That intermittent flow eliminates all maintenance needs|A wetland is not automatically a compliant CSO facility. Design, load variability, performance evidence and authorization must be assessed.|om
494|M|application|A utility wins an environmental award but still has recurring overflows. What should govern operational priorities?|Measured risks and unresolved corrective actions|The award as proof that further work is unnecessary|The award score without the incident records|The number of projects completed regardless of their outcomes|Recognition does not replace performance evidence. Continue to investigate and control the actual causes and consequences of overflows.|om
495|S|application|A proposal claims that funding habitat restoration elsewhere authorizes an otherwise prohibited sewer overflow. What is the correct response?|Do not treat an offset proposal as discharge authorization|Accept it if restoration costs exceed cleanup costs|Accept it whenever both sites share a watershed|Suspend incident reporting while the credit is purchased|An environmental improvement elsewhere does not itself authorize a sewer discharge or waive reporting and response obligations. Verify the actual applicable authorization.|om
496|M|application|An environmental DNA result is detected downstream after an overflow. What interpretation is justified?|Interpret it with method limitations and other incident evidence|It proves every detected organism is alive and infectious|It establishes the overflow volume without flow data|It identifies the responsible sewer without source investigation|DNA detection alone does not prove viability, infectivity, source or load. Use the validated method's limitations and supporting evidence.|om
497|M|application|A factory proposes discharging a nutrient-rich sidestream because it might later be recoverable. What should the collection operator require?|Compliance with discharge conditions and downstream coordination|Acceptance based on its possible fertilizer value alone|Uncontrolled mixing with cleaning chemicals|Classification of all sewer solids as recovered fertilizer|Potential resource value does not establish discharge acceptability. Protect collection operations and treatment performance under the applicable requirements.|om
501|L|application|A station reports lower emissions after purchasing offsets, but electricity per cubic metre has risen. Which measure identifies operational performance?|Metered energy normalized by pumped volume and head conditions|The offset purchase value alone|The station's nominal motor efficiency alone|The number of sustainability reports issued|Accounting claims and actual pump performance are different measures. Use comparable operating data to identify deterioration or opportunities.|math
