# number|area|cognition|question|correct|wrong1|wrong2|wrong3|explanation|source
303|L|application|A standby pump starts in tests, but its isolation valve is normally left closed. What reliability check is missing?|The complete available flow path under emergency operation|The number of recorded start commands alone|The motor's insulation certificate alone|The assumption that rotation proves delivered flow|Successful motor operation does not establish pumping availability. Test the full arrangement, including valves and controls.|lift
304|S|application|A 150 km sewer network records 12 overflows in one year. What is its rate per 100 km-year?|8|12|18|0.08|12/150 × 100 = 8 events per 100 km-year. This normalization does not independently adjust for rainfall or event severity.|math
305|S|application|A renewal budget is C$900,000. Committed work is C$640,000 and a protected contingency is C$90,000. What remains uncommitted outside contingency?|C$170,000|C$260,000|C$350,000|C$80,000|900000 − 640000 − 90000 = 170000. Do not count the protected contingency twice or treat it as freely committed funding.|math
306|S|application|An emergency exercise reveals that a planned bypass connection is inaccessible to the available truck. What should follow?|Correct and recheck the deployment plan|Retain the plan because the contact list worked|Record the exercise as successful without qualification|Assume the actual emergency will provide more space|Exercises should test practical capability and lead to verified corrections. A plan that cannot be deployed is not an effective contingency.|om
307|S|application|A service target promises a response time but does not define when the clock starts. What needs clarification?|Start and completion events used to measure the target|The target value alone with no event definitions|A separate clock chosen by each crew|The exclusion of delayed calls without explanation|Consistent event definitions make response measures meaningful and comparable. Otherwise performance can change simply through recording choices.|om
309|S|application|Four operators each need 6 hours of equipment training. Two instructors each teach one 6-hour group of two operators. How many operator training-hours are delivered?|24 hours|12 hours|6 hours|48 hours|Operator training-hours are 4 × 6 = 24. Instructor hours and elapsed session time are different measures.|math
310|S|application|Incident updates give conflicting overflow volumes to the public and regulator. What should the communication lead establish?|One reconciled estimate with its basis and uncertainty|Different unexplained estimates for each audience|A precise final number before supporting evidence exists|Suppression of all updates until cleanup is complete|Use consistent verified information and clearly labelled estimates. Updates can change as evidence improves, with an explained record.|om
311|E|recall|For what type of calculation is the Hazen-Williams relationship commonly used?|Friction loss in water-conveying pressure pipes within its applicability|Critical depth in an open channel|Pump motor starting current|Confined-space ventilation demand|Hazen-Williams is an empirical pressure-flow relationship. It does not replace open-channel or electrical calculations.|math
313|M|recall|With kinetic-energy correction factor 1, which expression gives open-channel specific energy relative to the local bed?|y + V²/(2g)|z + p/(rho g) alone|y − V²/(2g)|V²/(2g) divided by y|Specific energy combines depth and velocity head relative to the channel bed. Datum elevation is treated separately.|math
314|M|application|Downstream water submerges a weir used for measurement. What should be checked before using its free-flow rating?|Whether the rating remains valid or needs correction|Whether crest length can be omitted|Whether every submerged condition has zero flow|Whether the upstream depth should be read from the pipe invert|Weir ratings depend on specified hydraulic conditions. Submergence can invalidate an uncorrected free-flow relationship.|om
315|M|recall|A hydraulic jump changes open-channel flow from which regime to which?|Supercritical to subcritical|Subcritical to supercritical|Turbulent to necessarily laminar|Pressurized to necessarily dry|A jump increases depth and dissipates energy as fast shallow flow transitions to slower deeper flow.|math
316|E|application|A full pipe has V = 1.0 m/s, D = 0.20 m and kinematic viscosity 1.0 × 10^-6 m²/s. What Reynolds number results?|200,000|20,000|2,000|5,000,000|Re = VD/nu = 1.0 × 0.20 / 0.000001 = 200000. Under ordinary pipe-flow interpretation this is turbulent.|math
317|C|application|A storage basin receives 50 L/s for 10 minutes, then 90 L/s for 10 minutes. Outflow stays 40 L/s. Starting empty, what maximum volume accumulates?|36 m³|24 m³|60 m³|84 m³|First interval adds (50−40)×600 = 6000 L; second adds (90−40)×600 = 30000 L. Total accumulation is 36 m³.|math
318|E|application|A model's absolute roughness stays constant while internal diameter is reduced by a liner. What happens to relative roughness epsilon/D?|It increases|It decreases|It necessarily remains constant|It becomes equal to Manning n|With constant epsilon and a smaller denominator D, epsilon/D increases. Overall hydraulic performance also depends on the liner's actual roughness and area.|math
319|M|recall|In consistent SI units, equating Chezy and Manning velocity equations gives which relationship?|C = R^(1/6)/n|C = n/R|C = R^(2/3) × n|C = S/n|Equate C R^(1/2)S^(1/2) with R^(2/3)S^(1/2)/n. Cancelling terms gives C = R^(1/6)/n.|math
320|E|application|An orifice meter's differential-pressure taps plug with solids. What is the principal measurement concern?|The measured differential may no longer represent the calibrated condition|The pipe's actual flow becomes zero by definition|The meter automatically compensates for any plugged tap|The original calibration proves all later readings valid|Differential-pressure measurement needs functioning taps and the specified installation. Investigate and flag affected data.|om
321|E|recall|Which principle underlies a magnetic flow meter used on conductive wastewater?|Induced voltage from fluid moving through a magnetic field|Acoustic reflection from suspended solids|Pressure loss through a sharp-edged restriction|Mechanical rotation of a measuring wheel|Electromagnetic induction relates the measured voltage to fluid velocity. Conductivity and installation conditions still affect suitability.|om
322|M|application|A sanitary catchment has measurable flow at night with no rainfall. Can it be assumed to be entirely domestic sewage?|No; industrial discharge and base groundwater infiltration may contribute|Yes; all non-domestic flow requires rainfall|Yes; groundwater cannot enter during dry weather|No; it must all be stormwater|Dry-weather flow can include several sources. Use source and flow evidence before assigning the components.|om
324|M|application|A survey measures depth accurately but uses the wrong pipe shape for area calculations. What is affected?|Computed flow even if the depth sensor is accurate|Depth calibration becomes unnecessary because the error is geometric|The measured velocity automatically corrects the assumed cross-sectional area|Total flow remains valid whenever the depth reading itself is accurate|Area-velocity flow depends on correct wetted geometry as well as velocity. Accurate depth alone does not establish accurate flow.|math
326|L|application|A wear-ring inspection finds clearance above specification and declining pump efficiency. What mechanism is consistent with this?|Increased internal recirculation from high to low pressure|A necessary increase in external delivered flow|Automatic elimination of suction losses|A decrease in static elevation|Excess clearance can increase internal leakage and reduce useful output. Confirm against the manufacturer's tolerances and other performance evidence.|lift
327|L|application|A dry-pit pump has new shaft-seal leakage. What should the operator do?|Assess the leak and follow the appropriate isolation/repair procedure|Assume visible leakage proves the motor windings failed|Tighten moving components while the pump operates|Ignore the change until a routine calendar date regardless of risk|Seal leakage is evidence to investigate, not a complete diagnosis. Manage exposure and equipment risk under the maintenance procedure.|lift
328|E|application|A motor's insulation-resistance test falls sharply from its established baseline. What is a relevant investigation?|Moisture or insulation deterioration under controlled test conditions|Impeller diameter as the direct electrical-resistance cause|Assuming a running motor cannot have insulation damage|Increasing supply voltage to mask the low reading|Interpret resistance with temperature, test conditions and history. Qualified electrical assessment is needed before deciding on operation.|lift
329|L|application|Wet-well odour worsens during warm, low-flow operation. What hypothesis should be investigated?|Longer retention and conditions promoting sulfide generation|A universal increase in dissolved oxygen caused by low flow|An assumption that all odour originates outside the station|Motor temperature as proof of wastewater chemistry|Warm conditions and longer retention can promote septicity. Confirm actual gas and wastewater conditions rather than relying on smell alone.|force
330|E|application|A float switch changes state during a bench test but sticks against installed piping. What acceptance check is missing?|Free movement and correct switching in the actual installation|The switch's label as proof of reliable installed operation|A higher alarm delay as the sole corrective action|The pump curve at maximum flow|A functioning component can fail in its installed arrangement. Verify movement, setpoints and the complete control response.|lift
331|E|application|A submerged level transducer assumes a vented reference, but its vent tube is blocked. What should be investigated?|Pressure-reference error affecting the level reading|The pipe's roughness coefficient as the sole cause|The assumption that all pressure errors cancel automatically|The motor's efficiency as the calibration reference|Hydrostatic level measurement depends on a suitable pressure reference. A blocked vent can cause errors unrelated to actual liquid level.|math
332|L|application|A station's flow totalizer resets during a controller replacement. What should reporting preserve?|The reset time and reconciled cumulative volume record|Start the period total at the replacement controller's zero reading|Publish an estimated continuous total without identifying the reconstruction|Record the equipment serial number without preserving the volume discontinuity|A counter reset can break the time series. Preserve and reconcile the transition so volume and efficiency reports remain interpretable.|om
333|L|application|An energy audit compares pumps at different heads without adjustment. What is the main limitation?|It may confuse duty differences with efficiency differences|Head does not influence hydraulic power|Equal motor ratings guarantee comparable efficiency|Lower instantaneous kW always indicates a better pump|Hydraulic power depends on flow and head. Compare meaningful duty conditions before attributing energy differences to deterioration.|math
334|E|application|A remote station alarm is logged but never reaches the on-call operator. What should be tested?|The complete notification and escalation path|The local alarm display without checking remote delivery|The historical trend record without exercising escalation|The pump start circuit without testing on-call receipt|Logging, transmission and receipt are separate steps. Verify that the actual responder receives and can act on critical alarms.|lift
335|L|application|Operators receive hundreds of non-actionable alarms and miss a high-level event. What should alarm review address?|Priority, actionability and handling of critical conditions|Silencing all alarms during busy shifts|Increasing every delay equally without risk review|Counting alarms as proof of effective protection|Alarm systems should support timely action. Rationalize nuisance conditions while preserving meaningful critical warnings.|lift
336|L|application|A station bypass is sized for average flow before forecast heavy rain. What needs checking before taking the station offline?|Credible peak demand, backup arrangements and discharge constraints|Average flow alone as proof of sufficient capacity|The bypass hose's nominal diameter alone|The emergency crew size as the basis for estimating hydraulic demand|Temporary conveyance must suit the expected conditions and consequences of failure. Confirm the actual operating arrangement.|lift
337|E|application|A rarely used isolation valve cannot reach its intended closed position. What should the maintenance plan do?|Investigate condition and verify isolation capability safely|Record it as serviceable because the handle moves partly|Use handle position alone as proof of flow isolation|Force it with an unapproved extension until it moves|Partial movement does not establish closure or sealing. Diagnose under an appropriate procedure and verify the required function.|om
